Dataset,Split,Model,n,Component,Target,rho,p
naidv1,test,Deepseek,1213,Quality & Reliability,new_dataset,0.09909530765936239,0.0005477308869246157
naidv1,test,Deepseek,1213,Quality & Reliability,SOTA,0.23495951000822687,1.1220136145061337e-16
naidv1,test,Deepseek,1213,Quality & Reliability,is_broad,-0.012703563203250444,0.6584868324516424
naidv1,test,Deepseek,1213,Accessibility & Understandability,cites,0.09005013061530848,0.001692792117764908
naidv1,test,Deepseek,1213,Accessibility & Understandability,TNCSI,0.07676802079655988,0.0074756089577797365
naidv1,test,Deepseek,1213,Accessibility & Understandability,TNCSI_SP,0.08038144494884059,0.005091543334941155
naidv1,test,Deepseek,1213,Accessibility & Understandability,Ref_num,-0.08021343326296905,0.005184991324697171
naidv1,test,Deepseek,1213,Accessibility & Understandability,RQM,0.07938813580531724,0.005666880451332649
naidv1,test,Deepseek,1213,Accessibility & Understandability,SMP,-0.10465633114877651,0.00026095767193809287
naidv1,test,Deepseek,1213,Accessibility & Understandability,ARQ,0.04122476832615979,0.1513121437964713
naidv1,test,Deepseek,1213,Accessibility & Understandability,OA,0.022961721412022892,0.42429324907574917
naidv1,test,Deepseek,1213,Accessibility & Understandability,is_practical,0.2355021714630561,9.505092089529555e-17
naidv1,test,Deepseek,1213,Accessibility & Understandability,new_task,0.1422376253606451,6.555958097889988e-07
naidv1,test,Deepseek,1213,Accessibility & Understandability,new_dataset,0.24923865338592513,1.2405576020100674e-18
naidv1,test,Deepseek,1213,Accessibility & Understandability,SOTA,-0.0168572724720115,0.5575100165900337
naidv1,test,Deepseek,1213,Accessibility & Understandability,is_broad,0.06723116526027927,0.019192390599919926
naidv1,test,Deepseek,1213,Novelty & Engagement,cites,0.18396078387268364,1.0780684085826957e-10
naidv1,test,Deepseek,1213,Novelty & Engagement,TNCSI,0.11504797067565696,5.916443991841703e-05
naidv1,test,Deepseek,1213,Novelty & Engagement,TNCSI_SP,0.16118969466085836,1.650822448013095e-08
naidv1,test,Deepseek,1213,Novelty & Engagement,Ref_num,0.2690253636274493,1.4795403111793961e-21
naidv1,test,Deepseek,1213,Novelty & Engagement,RQM,0.08228605306850005,0.004133619952139195
naidv1,test,Deepseek,1213,Novelty & Engagement,SMP,-0.06909968858985567,0.01608370629958423
naidv1,test,Deepseek,1213,Novelty & Engagement,ARQ,0.06199343486605938,0.030852696991029355
naidv1,test,Deepseek,1213,Novelty & Engagement,OA,0.1188721536792381,3.3167283353461445e-05
naidv1,test,Deepseek,1213,Novelty & Engagement,is_practical,-0.0997972800774077,0.0004997993047051078
naidv1,test,Deepseek,1213,Novelty & Engagement,new_task,0.02013950050384006,0.4834469084964639
naidv1,test,Deepseek,1213,Novelty & Engagement,new_dataset,-0.05285969082951942,0.065710431928743
naidv1,test,Deepseek,1213,Novelty & Engagement,SOTA,0.2044370229015021,6.532581108992111e-13
naidv1,test,Deepseek,1213,Novelty & Engagement,is_broad,-0.012128102647889525,0.6730400526717628
naidv1,test,Llama-3.1,1237,Quality & Reliability,cites,-0.08428875390078606,0.003009123206520112
naidv1,test,Llama-3.1,1237,Quality & Reliability,TNCSI,-0.06866630816511911,0.015714775431056725
naidv1,test,Llama-3.1,1237,Quality & Reliability,TNCSI_SP,-0.06485180536342568,0.02254850356107657
naidv1,test,Llama-3.1,1237,Quality & Reliability,Ref_num,-0.11282825429970755,6.979690868880758e-05
naidv1,test,Llama-3.1,1237,Quality & Reliability,RQM,-0.05746358269856517,0.04331301861198842
naidv1,test,Llama-3.1,1237,Quality & Reliability,SMP,0.0460835467839685,0.1052264723015387
naidv1,test,Llama-3.1,1237,Quality & Reliability,ARQ,-0.02969052557852274,0.29675376368908735
naidv1,test,Llama-3.1,1237,Quality & Reliability,OA,0.0016254032603500615,0.9544581133754899
naidv1,test,Llama-3.1,1237,Quality & Reliability,is_practical,0.042723034219066994,0.13315422390918885
naidv1,test,Llama-3.1,1237,Quality & Reliability,new_task,0.01257623597869712,0.658569364196512
naidv1,test,Llama-3.1,1237,Quality & Reliability,new_dataset,-4.734903959784223e-05,0.9986726159317417
naidv1,test,Llama-3.1,1237,Quality & Reliability,SOTA,0.01380414309280506,0.6276494338074512
naidv1,test,Llama-3.1,1237,Quality & Reliability,is_broad,0.027935857771221106,0.32623257113648585
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,cites,0.08636594120297973,0.002364300927200732
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,TNCSI,0.06426287886016087,0.023806240778917645
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,TNCSI_SP,0.11747403926150454,3.4451245911682415e-05
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,Ref_num,0.07756634068075415,0.006344170077153387
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,RQM,0.022089831804949014,0.4376126211174093
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,SMP,-0.026179011743673885,0.3575888974289947
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,ARQ,0.01929244687410889,0.4978275144311227
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,OA,0.09654989049664402,0.0006731919140333641
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,is_practical,0.04712142151040567,0.0976099333864858
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,new_task,0.05133809805251833,0.07107817810877397
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,new_dataset,0.05247626417143714,0.06503046076616646
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,SOTA,0.1703378257451788,1.6496851398105793e-09
naidv1,test,Llama-3.1,1237,Accessibility & Understandability,is_broad,-0.021056944604157187,0.45934408603489496
naidv1,test,Llama-3.1,1237,Novelty & Engagement,cites,0.1616191245637118,1.0894537509146516e-08
naidv1,test,Llama-3.1,1237,Novelty & Engagement,TNCSI,0.14177625711910458,5.537597269620195e-07
naidv1,test,Llama-3.1,1237,Novelty & Engagement,TNCSI_SP,0.1814010328478613,1.3014680135266279e-10
naidv1,test,Llama-3.1,1237,Novelty & Engagement,Ref_num,0.2316615079387028,1.557131700702885e-16
naidv1,test,Llama-3.1,1237,Novelty & Engagement,RQM,0.07228225492528954,0.010990625755737846
naidv1,test,Llama-3.1,1237,Novelty & Engagement,SMP,-0.0978032581481826,0.0005718566728583098
naidv1,test,Llama-3.1,1237,Novelty & Engagement,ARQ,0.044919814245444986,0.11431882454957594
naidv1,test,Llama-3.1,1237,Novelty & Engagement,OA,0.11077568214414586,9.454731807866425e-05
naidv1,test,Llama-3.1,1237,Novelty & Engagement,is_practical,0.03343162291784879,0.24000924993466813
naidv1,test,Llama-3.1,1237,Novelty & Engagement,new_task,0.06206357589959868,0.029055233995530984
naidv1,test,Llama-3.1,1237,Novelty & Engagement,new_dataset,0.06766177758531652,0.01731004852922926
naidv1,test,Llama-3.1,1237,Novelty & Engagement,SOTA,0.17906840420387438,2.2535581940511016e-10
naidv1,test,Llama-3.1,1237,Novelty & Engagement,is_broad,0.008108402172036877,0.7757229995835387
